vive_padre,vive_madre,n_personas,n_habitaciones,cercania_juegos,cercania_servicios,edad_primer_parto,area,educm,educp
0,1,3,4,1,1,25,1,0,0
0,1,5,3,1,1,23,1,13,13
1,1,5,3,1,1,19,1,12,17
1,1,4,2,1,1,27,1,6,13
1,1,5,3,2,1,20,1,13,16
1,1,6,5,1,1,19,1,13,11
0,1,7,4,1,1,15,1,18,9
0,1,3,3,1,1,20,1,13,0
1,1,4,2,1,1,26,1,15,13
1,1,4,2,1,1,22,1,13,13
1,1,3,1,1,1,18,1,9,9
0,1,3,2,1,1,18,1,13,11
1,1,3,2,1,1,20,1,13,13
1,1,5,3,1,1,23,1,9,9
0,1,8,3,1,1,16,1,7,9
1,1,4,2,2,2,30,1,13,7
1,1,5,3,1,1,20,1,18,16
1,1,3,2,1,1,33,1,19,13
0,1,6,3,1,1,16,1,13,0
1,1,3,3,1,1,32,1,18,13
1,1,4,3,2,2,18,1,6,5
0,1,3,2,1,1,33,1,16,5
0,1,3,3,1,1,24,1,18,20
1,1,5,3,1,1,24,1,16,17
1,1,4,2,1,1,29,1,15,13
1,1,4,3,1,1,30,1,20,20
0,1,7,3,1,1,30,1,12,13
1,1,3,2,1,1,21,1,10,10
0,1,4,3,1,1,19,1,13,13
1,1,5,2,1,1,22,1,12,10
1,1,8,4,1,1,19,1,16,13
1,1,5,4,4,1,24,1,13,11
0,1,2,3,1,2,25,1,11,9
1,1,3,2,1,1,16,0,9,9
1,1,6,3,1,2,18,0,5,6
0,1,2,2,1,1,17,1,9,0
0,1,6,2,2,2,18,1,3,0
1,1,4,3,1,1,25,1,13,9
1,1,7,4,1,1,16,1,9,13
0,1,3,1,1,1,28,1,13,15
0,1,7,2,1,1,17,1,11,0
0,1,3,2,1,1,26,1,13,13
0,1,4,3,1,1,24,1,11,13
1,1,3,2,1,1,17,1,15,11
1,1,3,2,1,1,37,1,13,15
1,1,4,2,1,1,18,1,16,9
1,1,4,3,2,1,28,1,13,13
1,1,6,3,2,2,16,1,9,9
1,1,5,2,2,1,21,1,15,15
0,1,2,4,1,1,19,1,11,13
1,1,6,3,1,1,15,1,20,13
0,1,3,2,1,1,27,1,13,13
1,1,4,3,1,1,34,1,17,0
1,1,6,3,1,1,19,1,15,15
1,1,7,5,1,2,28,1,13,13
1,1,4,3,1,1,20,1,16,16
0,1,4,3,1,1,37,1,13,0
1,1,4,2,1,1,24,1,13,11
1,1,3,2,1,1,20,1,18,5
0,1,5,3,1,1,29,1,17,0
0,1,5,2,1,1,28,1,13,12
1,1,9,6,1,1,27,1,13,13
1,1,4,2,1,1,21,1,13,13
1,1,5,3,1,1,17,1,13,13
1,1,4,2,1,1,27,1,18,0
1,1,4,3,1,1,30,1,0,0
1,1,5,4,1,1,16,1,13,13
1,1,5,4,1,1,28,1,18,17
0,1,2,2,1,1,28,1,13,13
1,1,4,1,1,1,16,0,12,13
1,1,4,3,1,1,26,1,13,7
1,1,4,4,1,1,28,0,18,18
1,1,5,2,1,1,25,1,13,0
1,1,6,2,1,1,23,1,13,11
1,1,7,4,1,1,26,1,18,16
0,1,3,2,2,2,16,0,13,0
1,1,5,5,1,1,20,1,13,7
0,1,7,2,1,1,19,0,13,13
1,1,5,3,1,1,20,1,18,16
0,1,2,1,1,1,25,1,13,13
0,1,3,1,1,1,23,1,6,0
0,1,2,2,1,1,21,1,13,0
1,1,3,2,1,1,27,1,13,19
1,1,6,4,1,2,19,1,11,9
1,1,3,2,1,1,21,1,13,13
