Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-10-05,2020-10-12,2020-10-19,2020-10-26,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21,2020-12-28,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01,2021-03-08,2021-03-15,2021-03-22,2021-03-29,2021-04-05,2021-04-12,2021-04-19,2021-04-26,2021-05-03,2021-05-10,2021-05-17,2021-05-24,2021-05-31,2021-06-07,2021-06-14,2021-06-21,2021-06-28,2021-07-05,2021-07-12,2021-07-19,2021-07-26,2021-08-02,2021-08-09,2021-08-16,2021-08-23,2021-08-30,2021-09-06,2021-09-13,2021-09-20,2021-09-27,2021-10-04,2021-10-11,2021-10-18,2021-10-25,2021-11-01,2021-11-08,2021-11-15,2021-11-22,2021-11-29,2021-12-06,2021-12-13,2021-12-20,2021-12-27,2022-01-03,2022-01-10,2022-01-17,2022-01-24,2022-02-01,2022-02-08,2022-02-15,2022-02-22,2022-03-01,2022-03-08,2022-03-15,2022-03-22,2022-03-29,2022-04-05,2022-04-12,2022-04-19,2022-04-26,2022-05-03,2022-05-10,2022-05-17,2022-05-24,2022-05-31,2022-06-07,2022-06-14,2022-06-21,2022-06-28,2022-07-05,2022-07-12,2022-07-19,2022-07-26,2022-08-02,2022-08-09,2022-08-16,2022-08-23,2022-08-30,2022-09-06,2022-09-13,2022-09-20,2022-09-27
Tarapaca,1.0,Iquique,1101.0,223463.0,3.413043478,3.694444444,3.386138614,4.113821138,3.86,3.156462585,3.863636364,3.826771654,3.314102564,2.163934426,3.004132231,2.859259259,2.485776805,2.629213483,2.614384749,2.694200351,2.902077151,2.602813853,2.596614951,2.686478455,2.625786164,2.81216458,2.633574007,2.924193548,2.604619565,2.91552795,2.480701754,2.440092166,2.891855808,3.079812207,3.027419355,2.70017331,2.704460967,2.551362683,2.865435356,3.157384988,3.302452316,2.892950392,2.958801498,3.136363636,3.905759162,3.911290323,3.333333333,3.363636364,3.478723404,4.6,5.226190476,5.7,4.761904762,5.46,4.769230769230769,3.5853658536585367,5.2073170731707314,4.170731707317073,4.107692307692307,4.243243243243243,3.828025477707006,5.017857142857143,3.9927272727272727,5.275167785234899,4.7481481481481485,3.7184466019417477,5,4.7,4.6,2.4157303370786516,2.452873563218391,1.4887931034482758,1.1529723589549412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarapaca,1.0,Alto Hospicio,1107.0,129999.0,3,3.4375,3.95,4.230769231,4.648648649,5.166666667,4.15,4.088235294,3.965517241,2.702702703,3.278846154,3.484126984,2.731578947,3.032608696,2.416851441,2.398322851,2.395683453,2.497237569,2.953405018,2.436170213,2.630434783,2.601731602,2.857843137,3.449074074,3.271604938,2.993589744,2.68597561,2.701086957,3.199367089,2.862464183,3.130990415,3.133574007,3.565543071,2.730088496,2.394308943,3.159574468,3.776649746,2.826666667,3.343023256,3.589552239,3.214876033,2.893939394,3.384615385,3.074074074,5.363636364,12.53030303,3.577464789,5.128205128,3.965517241,7.384615384615385,5.5,4.129032258064516,5.137931034482759,4.7317073170731705,5.648648648648648,3.7916666666666665,4.741935483870968,4.7272727272727275,5.2745098039215685,5.076923076923077,5.879518072289157,7.902439024390244,4.6,3.3,2.3,2.6626506024096384,2.1804347826086956,1.3877887788778878,1.2540322580645162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarapaca,1.0,Pozo Almonte,1401.0,17395.0,1.928571429,3,2.5,4.428571429,6.25,3.25,5.32,6.875,3,2.611111111,4.647058824,3,2.8125,2.8125,1.754716981,1.677966102,3.108108108,2.902439024,1.791044776,3.627906977,2.636363636,2.209302326,3.225806452,2.636363636,2.869565217,2.936170213,2.575757576,2.108695652,2.755102041,3.035714286,2.128205128,2.68,1.766666667,2.15,2.2,2.607142857,3.21875,1.520833333,3,4.3,2.833333333,2.857142857,5.5,2.428571429,4.588235294,4.769230769,2.714285714,1.428571429,3.111111111,5.75,4.2727272727272725,3.6,1.6,17,3.4,2.6666666666666665,4.666666666666667,6.125,15,4.2,3.6666666666666665,8,1.3,4.7,4.2,1.5555555555555556,1.4197530864197532,1.0363636363636364,0.8199052132701422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarapaca,1.0,Camina,1402.0,1375.0,4,4,1,-,-,1.5,1.5,6,0.666666667,-,-,-,-,3,-,1,-,-,-,2.4,4,3.5,-,0.5,-,-,-,2.5,0,4.4,2.333333333,4,0,3,6,5,2.333333333,3.8,1,-,2.2,-,-,1,-,2,3,2,3,-,0,-,-,-,-,-,-,-,0.5,-,-,-,-,-,0,-,-,2.142857142857143,1.5416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarapaca,1.0,Colchane,1403.0,1583.0,2,-,-,-,-,-,-,-,1,1,-,-,2,-,2,1.5,-,1,1,-,-,-,-,-,-,-,-,-,6,3.25,-,-,-,1,3,-,2,-,0,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,1,0.3333333333333333,0.6666666666666666,1.4444444444444444,0,-,-,-,-,1.5,0.3103448275862069,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarapaca,1.0,Huara,1404.0,3000.0,2.333333333,2,-,0.5,0.666666667,4.2,7,26,-,8,5.090909091,2.5,5,3.5,4.2,3.375,2.277777778,4.666666667,-,1.944444444,2.45,5,1.5,3.666666667,0.714285714,1.666666667,1.785714286,2.071428571,4,1.4,-,-,3.4,5.4,2,2.555555556,1.9,1.75,1.25,1.5,2,2,0.6,-,0,4.666666667,12,-,-,-,3,-,-,2.5714285714285716,2.1666666666666665,5.25,3,15,-,-,3,2.75,-,-,-,3,4,1.2,1.032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tarapaca,1.0,Pica,1405.0,5958.0,3.142857143,0.666666667,2,4.333333333,3.5,4.222222222,4.333333333,2,2,-,3.5,1.875,1.25,3.5,2.566666667,3.117647059,1.906976744,2.148148148,2.416666667,2.7,2.428571429,3.285714286,3.380952381,3,3.769230769,2.75,4.043478261,2.1875,4.818181818,4.315789474,1.804878049,1.857142857,2.789473684,1.761904762,4.035714286,5.307692308,4.029411765,3.473684211,4.75,5.666666667,4.75,1.666666667,2,5,10.66666667,6.666666667,5.666666667,3,5.4,-,1.5,4,13.5,8.666666666666666,4.5,8.125,7.428571428571429,7.2,13.6,35,7.666666666666667,11,3.9,4,-,4.25,2.875,1.865546218487395,2.765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antofagasta,2.0,Antofagasta,2101.0,425725.0,2.637209302,2.686098655,1.980487805,2.848039216,2.966292135,2.707792208,2.572519084,3.036036036,2.495652174,3.432989691,2.177339901,2.873646209,3.200636943,2.702702703,2.436487639,2.611576011,2.75672043,2.938262195,2.989574283,2.80037843,2.601841197,2.551804424,3.010854817,2.747724317,2.487179487,2.925,2.991643454,2.45308642,2.505698006,2.497592295,2.77443609,3.37470726,3.391402715,3.576190476,3.317254174,3.177007299,3.583497053,3.388888889,3.751184834,3.732970027,4.082397004,4.482014388,3.397350993,3.956896552,3.045801527,4.603448276,4.178571429,4.2,4.615384615,3.967741935483871,7.1063829787234045,5.387755102040816,5.584158415841584,7.0285714285714285,5.47953216374269,4.973509933774834,4.32258064516129,6.0198675496688745,5.059006211180124,5.890243902439025,5.260273972602739,5.883333333333334,5,5.7,4.8,4.915094339622642,3.1596638655462184,1.2852459016393443,0.562962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antofagasta,2.0,Mejillones,2102.0,14776.0,5.25,0.833333333,1.8,6.5,2.666666667,3.333333333,0.5,5.333333333,-,4,2.833333333,2.333333333,2.875,3.5,2.833333333,2.451612903,2.371428571,2.536585366,3.196721311,3.93877551,2.403225806,2.439393939,3.326086957,2.784313725,3.047619048,2.96969697,2.714285714,3.666666667,2.416666667,2.545454545,3.307692308,3.5,2.958333333,3.727272727,2.925,2.84375,2.518518519,4.125,2.647058824,3.695652174,3.263157895,5.111111111,1.777777778,4.25,2.8,4.833333333,3.6,7.666666667,4.5,4.538461538461538,2.142857142857143,4.454545454545454,3.4615384615384617,5.311111111111111,5,5.6,4,4.8,5.2,6,6.666666666666667,4.6,-,3.2,1,3.2857142857142856,2.7333333333333334,1.1714285714285715,0.8295454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antofagasta,2.0,Sierra Gorda,2103.0,1746.0,2,4.666666667,1,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,4.5,0.5,3.5,2.5,-,-,-,-,1.5,8,2,5,4.4,7,3,2,-,1,2.5,4,2,-,-,-,-,-,-,-,-,1,-,-,0,-,-,-,2.3333333333333335,9,13,0,-,-,12.0625,103,-,-,-,1,1.5714285714285714,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
