Region,Codigo region,Comuna,Codigo comuna,Poblacion,Casos Confirmados
Arica y Parinacota,15,Arica,15101,247552.0,30376.0
Arica y Parinacota,15,Camarones,15102,1233.0,70.0
Arica y Parinacota,15,General Lagos,15202,810.0,88.0
Arica y Parinacota,15,Putre,15201,2515.0,213.0
Arica y Parinacota,15,Desconocido Arica y Parinacota,,,167.0
Tarapacá,1,Alto Hospicio,1107,129999.0,15942.0
Tarapacá,1,Camina,1402,1375.0,231.0
Tarapacá,1,Colchane,1403,1583.0,168.0
Tarapacá,1,Huara,1404,3000.0,463.0
Tarapacá,1,Iquique,1101,223463.0,29910.0
Tarapacá,1,Pica,1405,5958.0,1023.0
Tarapacá,1,Pozo Almonte,1401,17395.0,2371.0
Tarapacá,1,Desconocido Tarapaca,,,872.0
Antofagasta,2,Antofagasta,2101,425725.0,40338.0
Antofagasta,2,Calama,2201,190336.0,18685.0
Antofagasta,2,Maria Elena,2302,6814.0,707.0
Antofagasta,2,Mejillones,2102,14776.0,1987.0
Antofagasta,2,Ollague,2202,287.0,37.0
Antofagasta,2,San Pedro de Atacama,2203,10434.0,1177.0
Antofagasta,2,Sierra Gorda,2103,1746.0,168.0
Antofagasta,2,Taltal,2104,13657.0,949.0
Antofagasta,2,Tocopilla,2301,28079.0,2158.0
Antofagasta,2,Desconocido Antofagasta,,,681.0
Atacama,3,Alto del Carmen,3302,5729.0,277.0
Atacama,3,Caldera,3102,19426.0,1752.0
Atacama,3,Chanaral,3201,13164.0,1067.0
Atacama,3,Copiapo,3101,171766.0,16347.0
Atacama,3,Diego de Almagro,3202,14358.0,1326.0
Atacama,3,Freirina,3303,7681.0,683.0
Atacama,3,Huasco,3304,11264.0,853.0
Atacama,3,Tierra Amarilla,3103,14312.0,1498.0
Atacama,3,Vallenar,3301,57009.0,5145.0
Atacama,3,Desconocido Atacama,,,91.0
Coquimbo,4,Andacollo,4103,11791.0,619.0
Coquimbo,4,Canela,4202,9546.0,482.0
Coquimbo,4,Combarbala,4302,13884.0,815.0
Coquimbo,4,Coquimbo,4102,256735.0,17150.0
Coquimbo,4,Illapel,4201,32801.0,2370.0
Coquimbo,4,La Higuera,4104,4450.0,387.0
Coquimbo,4,La Serena,4101,249656.0,17056.0
Coquimbo,4,Los Vilos,4203,23374.0,1841.0
Coquimbo,4,Monte Patria,4303,32527.0,2027.0
Coquimbo,4,Ovalle,4301,121269.0,9570.0
Coquimbo,4,Paiguano,4105,4675.0,352.0
Coquimbo,4,Punitaqui,4304,12165.0,965.0
Coquimbo,4,Rio Hurtado,4305,4372.0,238.0
Coquimbo,4,Salamanca,4204,29110.0,1821.0
Coquimbo,4,Vicuna,4106,29741.0,2055.0
Coquimbo,4,Desconocido Coquimbo,,,256.0
Valparaíso,5,Algarrobo,5602,15174.0,1211.0
Valparaíso,5,Cabildo,5402,20663.0,1562.0
Valparaíso,5,Calera,5502,53591.0,5191.0
Valparaíso,5,Calle Larga,5302,16482.0,1333.0
Valparaíso,5,Cartagena,5603,25357.0,2442.0
Valparaíso,5,Casablanca,5102,29170.0,2358.0
Valparaíso,5,Catemu,5702,15213.0,1236.0
Valparaíso,5,Concon,5103,45889.0,3599.0
Valparaíso,5,El Quisco,5604,17742.0,1416.0
Valparaíso,5,El Tabo,5605,14338.0,1413.0
Valparaíso,5,Hijuelas,5503,19099.0,1417.0
Valparaíso,5,Isla de Pascua,5201,8277.0,9.0
Valparaíso,5,Juan Fernandez,5104,1033.0,1.0
Valparaíso,5,La Cruz,5504,25321.0,1966.0
Valparaíso,5,La Ligua,5401,37739.0,3268.0
Valparaíso,5,Limache,5802,49931.0,4261.0
Valparaíso,5,Llaillay,5703,26533.0,2340.0
Valparaíso,5,Los Andes,5301,68093.0,6031.0
Valparaíso,5,Nogales,5506,23490.0,1915.0
Valparaíso,5,Olmue,5803,19266.0,1504.0
Valparaíso,5,Panquehue,5704,7633.0,571.0
Valparaíso,5,Papudo,5403,6201.0,533.0
Valparaíso,5,Petorca,5404,10558.0,747.0
Valparaíso,5,Puchuncavi,5105,20071.0,1513.0
Valparaíso,5,Putaendo,5705,17645.0,1238.0
Valparaíso,5,Quillota,5501,97572.0,8437.0
Valparaíso,5,Quilpue,5801,167085.0,13360.0
Valparaíso,5,Quintero,5107,36135.0,2890.0
Valparaíso,5,Rinconada,5303,11263.0,795.0
Valparaíso,5,San Antonio,5601,96761.0,8809.0
Valparaíso,5,San Esteban,5304,20643.0,1444.0
Valparaíso,5,San Felipe,5701,83494.0,6910.0
Valparaíso,5,Santa Maria,5706,16367.0,1374.0
Valparaíso,5,Santo Domingo,5606,11934.0,927.0
Valparaíso,5,Valparaiso,5101,315732.0,33715.0
