region,idc,puntaje,nem,ingreso2,vacantes,ingreso,year,stem,area
7,7404,713,645,26,38,138,2019,0,Art/Humanities
7,7405,643,637,28,39,104,2019,0,Art/Humanities
7,7402,674,692,278,314,1318,2019,0,Art/Humanities
7,7406,663,655,79,103,438,2019,0,Art/Humanities
7,29756,,,,35,53,2019,0,Art/Humanities
7,7408,642,610,41,59,148,2019,0,Art/Humanities
7,11675,693,688,59,80,383,2019,0,Art/Humanities
7,7463,,,,2,130,2019,0,Art/Humanities
7,29760,,,,36,35,2019,0,Art/Humanities
7,7456,641,651,148,171,757,2019,0,Art/Humanities
7,7433,641,604,84,114,282,2019,0,Art/Humanities
7,7403,652,640,60,76,386,2019,0,Art/Humanities
7,7434,689,653,90,125,422,2019,0,Art/Humanities
7,7452,643,619,80,111,336,2019,0,Art/Humanities
7,1203,712,688,39,40,197,2019,0,Art/Humanities
7,15663,683,695,51,50,188,2019,0,Art/Humanities
7,1171,674,691,82,80,386,2019,0,Art/Humanities
7,1173,680,699,177,90,871,2019,0,Art/Humanities
7,33378,,,,,10,2019,0,Art/Humanities
7,1186,643,621,23,25,143,2019,0,Art/Humanities
7,1207,656,657,50,50,379,2019,0,Art/Humanities
7,1192,694,674,61,60,303,2019,0,Art/Humanities
7,1253,,,,30,58,2019,0,Art/Humanities
7,1212,662,664,59,60,302,2019,0,Art/Humanities
7,1213,692,708,36,34,160,2019,0,Art/Humanities
7,1204,662,675,2,10,176,2019,0,Art/Humanities
10,1360,630,658,71,75,386,2019,0,Art/Humanities
10,11012,615,615,50,50,217,2019,0,Art/Humanities
10,1423,601,597,35,40,66,2019,0,Art/Humanities
10,1521,585,558,55,55,287,2019,0,Art/Humanities
10,13974,642,627,29,30,90,2019,0,Art/Humanities
6,1569,653,670,77,70,393,2019,0,Art/Humanities
6,1651,598,606,54,45,187,2019,0,Art/Humanities
6,1609,,,,,86,2019,0,Art/Humanities
6,1603,582,567,56,50,229,2019,0,Art/Humanities
6,33583,,,,,20,2019,0,Art/Humanities
6,40307,652,671,73,70,354,2019,0,Art/Humanities
6,1724,,,,,2,2019,0,Art/Humanities
7,40347,631,621,34,30,69,2019,0,Art/Humanities
6,1726,642,665,21,30,140,2019,0,Art/Humanities
6,21862,556,552,37,50,154,2019,0,Art/Humanities
7,1835,654,650,67,65,375,2019,0,Art/Humanities
7,1874,567,535,52,35,121,2019,0,Art/Humanities
7,33399,626,606,37,30,98,2019,0,Art/Humanities
13,2015,598,602,83,75,400,2019,0,Art/Humanities
13,10028,596,596,38,30,148,2019,0,Art/Humanities
3,2136,579,595,93,78,435,2019,0,Art/Humanities
5,2166,575,599,2,2,12,2019,0,Art/Humanities
5,6391,599,589,77,75,364,2019,0,Art/Humanities
5,40860,550,550,52,50,54,2019,0,Art/Humanities
6,2264,646,565,31,20,137,2019,0,Art/Humanities
6,2191,586,599,120,120,644,2019,0,Art/Humanities
6,31737,,,,7,1,2019,0,Art/Humanities
6,2240,627,612,45,40,170,2019,0,Art/Humanities
6,2193,558,559,72,75,342,2019,0,Art/Humanities
3,31534,537,555,21,15,65,2019,0,Art/Humanities
16,2627,568,575,20,20,86,2019,0,Art/Humanities
9,2751,636,660,69,70,411,2019,0,Art/Humanities
9,2771,592,606,42,40,168,2019,0,Art/Humanities
7,16581,,,,,47,2019,0,Art/Humanities
7,39378,509,498,7,40,38,2019,0,Art/Humanities
7,2120,628,542,50,48,157,2019,0,Art/Humanities
7,2118,637,571,53,54,201,2019,0,Art/Humanities
5,41283,514,510,39,45,45,2019,0,Art/Humanities
7,2322,527,502,45,115,396,2019,0,Art/Humanities
7,13476,528,497,11,35,63,2019,0,Art/Humanities
1,2858,550,557,17,20,71,2019,0,Art/Humanities
