session_id,user_id,sequence_id,node_id,option_id,nodo_id,iia,iic,mi,ei,ci,rc,dpe_a,dpe_p,lf
42e50ef2-488a-46af-9be7-43ba51aae3b3,a71b7438-ec7a-4518-8d31-ff796802bea3,MLQ5X_D3_SEQUENCE_14,MLQ5X_D3S14_N19_ULTRASOUND_SHARED_USE,A,19,3.0,3.0,2.0,3.0,3.0,1.0,3.0,0.0,0.0
42e50ef2-488a-46af-9be7-43ba51aae3b3,a71b7438-ec7a-4518-8d31-ff796802bea3,MLQ5X_D3_SEQUENCE_15,MLQ5X_D3S15_N20_SOTO_ROTATING_SHIFTS_DECISION,C,20,2.0,3.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0
42e50ef2-488a-46af-9be7-43ba51aae3b3,a71b7438-ec7a-4518-8d31-ff796802bea3,MLQ5X_D3_SEQUENCE_18,MLQ5X_D3S18_N23_JAVIER_WORKLOAD,B,23,2.0,2.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0
42e50ef2-488a-46af-9be7-43ba51aae3b3,a71b7438-ec7a-4518-8d31-ff796802bea3,MLQ5X_D3_SEQUENCE_16,MLQ5X_D3S16_N21_GUZMAN_UNREGISTERED_INTERNS,A,21,3.0,3.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0
42e50ef2-488a-46af-9be7-43ba51aae3b3,a71b7438-ec7a-4518-8d31-ff796802bea3,MLQ5X_D3_SEQUENCE_16,MLQ5X_D3S16_N22_GUZMAN_CONVENIO_BOX1,A,22,3.0,3.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0
2c37a37e-25d9-472a-aeb4-aca72eb5f910,d20aaaa8-b168-4dac-b738-4a50dcec1b85,MLQ5X_D1_SEQUENCE_1,MLQ5X_D1S1_N1_RIOS_CHOICE,C,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0
2c37a37e-25d9-472a-aeb4-aca72eb5f910,d20aaaa8-b168-4dac-b738-4a50dcec1b85,MLQ5X_D1_SEQUENCE_1,MLQ5X_D1S1_N2_GUZMAN_DOCENCIA,B,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0
2c37a37e-25d9-472a-aeb4-aca72eb5f910,d20aaaa8-b168-4dac-b738-4a50dcec1b85,MLQ5X_D1_SEQUENCE_1,MLQ5X_D1S1_N3_RIOS_PROTOCOLS,C,3,1.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0
2c37a37e-25d9-472a-aeb4-aca72eb5f910,d20aaaa8-b168-4dac-b738-4a50dcec1b85,MLQ5X_D1_SEQUENCE_1,MLQ5X_D1S1_N4_SOTO_INDICATORS,A,4,3.0,3.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0
2c37a37e-25d9-472a-aeb4-aca72eb5f910,d20aaaa8-b168-4dac-b738-4a50dcec1b85,MLQ5X_D1_SEQUENCE_1,MLQ5X_D1S1_N5_SOFIA_PRIORITY,C,5,3.0,3.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0
2c37a37e-25d9-472a-aeb4-aca72eb5f910,d20aaaa8-b168-4dac-b738-4a50dcec1b85,MLQ5X_D1_SEQUENCE_5,MLQ5X_D1S5_N10_SOTO_PROTOCOLS,B,10,3.0,2.0,2.0,1.0,1.0,1.0,4.0,0.0,0.0
2c37a37e-25d9-472a-aeb4-aca72eb5f910,d20aaaa8-b168-4dac-b738-4a50dcec1b85,MLQ5X_D1_SEQUENCE_3,MLQ5X_D1S3_N6_GUZMAN_DOCENCIA,C,6,3.0,3.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0
2c37a37e-25d9-472a-aeb4-aca72eb5f910,d20aaaa8-b168-4dac-b738-4a50dcec1b85,MLQ5X_D1_SEQUENCE_4,MLQ5X_D1S4_N7_RIOS_DERIVACION,B,7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0
2c37a37e-25d9-472a-aeb4-aca72eb5f910,d20aaaa8-b168-4dac-b738-4a50dcec1b85,MLQ5X_D1_SEQUENCE_4,MLQ5X_D1S4_N8_RIOS_SANCION,B,8,2.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,0.0
2c37a37e-25d9-472a-aeb4-aca72eb5f910,d20aaaa8-b168-4dac-b738-4a50dcec1b85,MLQ5X_D1_SEQUENCE_4,MLQ5X_D1S4_N9_SOTO_REPORTE,A,9,2.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0
2c37a37e-25d9-472a-aeb4-aca72eb5f910,d20aaaa8-b168-4dac-b738-4a50dcec1b85,MLQ5X_D2_SEQUENCE_8,MLQ5X_D2S8_N11_SOTO_DECISION,A,11,3.0,4.0,2.0,2.0,2.0,2.0,3.0,0.0,0.0
2c37a37e-25d9-472a-aeb4-aca72eb5f910,d20aaaa8-b168-4dac-b738-4a50dcec1b85,MLQ5X_D2_SEQUENCE_10,MLQ5X_D2S10_N13_LATE_ARRIVAL_RESPONSE,B,13,3.0,4.0,4.0,3.0,2.0,2.0,1.0,0.0,0.0
2c37a37e-25d9-472a-aeb4-aca72eb5f910,d20aaaa8-b168-4dac-b738-4a50dcec1b85,MLQ5X_D2_SEQUENCE_10,MLQ5X_D2S10_N14_RIOS_EXTENDED_SHIFTS,A,14,3.0,3.0,2.0,1.0,2.0,1.0,3.0,0.0,0.0
2c37a37e-25d9-472a-aeb4-aca72eb5f910,d20aaaa8-b168-4dac-b738-4a50dcec1b85,MLQ5X_D2_SEQUENCE_10,MLQ5X_D2S10_N15_RIOS_RESIGNATION_RISK,B,15,2.0,2.0,1.0,3.0,2.0,0.0,2.0,0.0,0.0
2c37a37e-25d9-472a-aeb4-aca72eb5f910,d20aaaa8-b168-4dac-b738-4a50dcec1b85,MLQ5X_D2_SEQUENCE_9,MLQ5X_D2S9_N12_SOTO_WATER_CUT_FOLLOWUP,A,12,4.0,4.0,4.0,1.0,3.0,2.0,0.0,0.0,0.0
2c37a37e-25d9-472a-aeb4-aca72eb5f910,d20aaaa8-b168-4dac-b738-4a50dcec1b85,MLQ5X_D2_SEQUENCE_11,MLQ5X_D2S11_N16_GUZMAN_VISION,A,16,3.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0
2c37a37e-25d9-472a-aeb4-aca72eb5f910,d20aaaa8-b168-4dac-b738-4a50dcec1b85,MLQ5X_D2_SEQUENCE_11,MLQ5X_D2S11_N17_GUZMAN_PRACTICE_CUPS,B,17,2.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0
2c37a37e-25d9-472a-aeb4-aca72eb5f910,d20aaaa8-b168-4dac-b738-4a50dcec1b85,MLQ5X_D3_SEQUENCE_14,MLQ5X_D3S14_N18_SOFIA_BOX6_DECISION,A,18,3.0,3.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0
2c37a37e-25d9-472a-aeb4-aca72eb5f910,d20aaaa8-b168-4dac-b738-4a50dcec1b85,MLQ5X_D3_SEQUENCE_14,MLQ5X_D3S14_N19_ULTRASOUND_SHARED_USE,A,19,3.0,3.0,2.0,3.0,3.0,1.0,3.0,0.0,0.0
2c37a37e-25d9-472a-aeb4-aca72eb5f910,d20aaaa8-b168-4dac-b738-4a50dcec1b85,MLQ5X_D3_SEQUENCE_15,MLQ5X_D3S15_N20_SOTO_ROTATING_SHIFTS_DECISION,C,20,2.0,3.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0
2c37a37e-25d9-472a-aeb4-aca72eb5f910,d20aaaa8-b168-4dac-b738-4a50dcec1b85,MLQ5X_D3_SEQUENCE_18,MLQ5X_D3S18_N23_JAVIER_WORKLOAD,B,23,2.0,2.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0
2c37a37e-25d9-472a-aeb4-aca72eb5f910,d20aaaa8-b168-4dac-b738-4a50dcec1b85,MLQ5X_D3_SEQUENCE_16,MLQ5X_D3S16_N21_GUZMAN_UNREGISTERED_INTERNS,A,21,3.0,3.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0
2c37a37e-25d9-472a-aeb4-aca72eb5f910,d20aaaa8-b168-4dac-b738-4a50dcec1b85,MLQ5X_D3_SEQUENCE_16,MLQ5X_D3S16_N22_GUZMAN_CONVENIO_BOX1,C,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0
2c37a37e-25d9-472a-aeb4-aca72eb5f910,d20aaaa8-b168-4dac-b738-4a50dcec1b85,MLQ5X_D5_SEQUENCE_21,MLQ5X_D5S21_N26_SOFIA_MINOR_RECORD_ERROR,A,26,2.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0
