ID,year,tamano,sales,age,foreign,export,workers,fomento,iyd,impuestos,utilidades
100003,2007,1,7.046557826,22,1,1,3.486855355,0,1,1.231345,7.1138915
100003,2009,1,7.875562538,24,1,1,3.504606771,0,0,8.762233,33.976108
100003,2013,1,7.437399102,23,1,1,4.691620708,1,1,0.001885941,3.137265
100003,2015,1,7.356471536,30,1,1,4.68261433,1,0,0.41167003,1.2984133
100003,2017,1,4.014771551,32,1,1,4.611691451,1,0,0.000720783,0.001949247
100004,2007,1,4.064274349,22,0,0,2.178976947,0,1,0.000138945,-0.000405233
100004,2009,1,7.208825736,24,0,0,2.041392685,0,0,0.56624538,3.5185888
100004,2013,1,4.074684451,28,0,1,3.046495164,0,0,0.000166921,0.000362969
100004,2015,1,3.924481651,30,0,0,3.176380692,0,0,6.23E-06,-5.90E-05
100005,2007,1,3.65784661,63,0,0,2,1,0,0.000173924,0.002070651
100006,2007,1,4.390062588,71,0,0,2.712649702,0,1,0.000122983,0.000552039
100007,2007,1,4.464429466,19,0,1,2.557507202,0,1,0.000266157,0.001443095
100008,2007,1,4.027585408,28,0,0,1.643452676,0,1,0.000165246,0.001373067
100008,2009,1,7.092202936,16,0,0,1.431363764,0,1,0.12900533,0.69045075
100013,2007,1,5.211322524,55,1,1,2.638489257,0,1,0,9.09E-05
100013,2009,1,8.151638499,57,0,1,2.397940009,1,1,1.3284014,5.618076
100013,2013,1,5.33556637,25,1,1,3.611617111,0,1,0,0.006499884
100013,2015,1,5.376104834,27,1,1,3.600646236,1,1,0,0.011665852
100014,2007,1,5.699975213,15,0,0,1.73239376,0,1,0.00304481,0.039926145
100014,2009,1,8.515889352,17,0,0,1.875061263,0,0,3.7641888,18.387624
100014,2013,1,5.87019622,20,0,0,2.703291378,0,0,0.014736496,0.056872465
100014,2015,1,5.542133651,23,0,0,2.778874472,0,0,0.008360773,0.028409746
100014,2017,1,5.690947495,25,0,0,2.774516966,0,0,0.008400614,0.023677404
100015,2007,1,4.353330606,19,0,1,2.152288344,0,1,0.000210674,-6.88E-05
100017,2007,1,4.141662541,48,0,0,1.568201724,0,0,0.000184814,0.0010063
100017,2009,1,7.149398091,12,0,0,1.477121255,0,0,0,2.186148
100017,2013,1,4.147116636,54,0,0,2.656098202,0,1,0.000131819,0.00119112
100017,2015,1,4.105112496,56,0,0,2.671172843,0,0,0,0.001009368
100018,2007,1,3.736606793,17,0,0,1.968482949,0,0,7.03E-05,0.000237348
100019,2007,1,4.571426076,29,0,1,2.484299839,1,0,0.00033661,0.020180158
100020,2007,1,4.361010015,15,0,1,2.828659897,1,1,0.000169795,-0.001990063
100020,2009,1,7.379611012,27,0,1,2.639486489,1,1,0.084587445,1.051427
100020,2013,1,4.419161072,31,0,1,3.782544284,1,1,2.36E-05,0.001122303
100020,2015,1,4.490310003,22,0,1,3.800648355,1,1,0.000164235,0.000974934
100023,2007,1,4.104407108,14,0,0,2.086359831,0,1,0.000111471,0.001463471
100023,2009,1,7.107717289,16,0,0,2.068185862,0,0,0.14344275,1.5062303
100023,2013,1,4.24639615,19,0,1,3.364550995,0,0,0.000107407,0.001817268
100023,2015,1,4.237897865,22,0,1,3.354300562,0,0,0.000107487,0.000651912
100024,2007,1,4.697735332,25,0,1,2.274157849,1,1,8.33E-05,-0.000684772
100024,2009,1,7.675106489,16,0,1,2.645422269,0,0,-1.2789225,-5.988433
100024,2013,1,4.679641076,26,0,0,3.479431337,0,1,0,-0.001792208
100024,2015,1,4.739853888,22,0,0,3.569724949,1,0,0,0.00161079
100024,2017,1,5.018400507,24,0,1,3.39707055,0,0,0,-0.004443303
100025,2007,1,4.302251207,24,0,0,2.161368002,0,0,0.000178201,0.000870047
100026,2007,1,3.850963669,19,0,0,2.906873535,0,1,0,-0.009942175
100026,2009,1,6.930694744,21,0,0,2.742725131,0,0,0,-0.11690979
100026,2013,1,4.137083353,20,0,0,3.969136234,0,1,3.62E-05,0.000222936
100026,2015,1,4.068201786,27,0,0,3.834484285,0,1,2.18E-05,0.00019446
100027,2007,1,3.989504653,14,0,0,2.008600172,0,1,2.58E-05,0.000286546
100027,2015,1,3.921873047,23,0,0,3.019531685,0,0,5.44E-05,-1.46E-05
100031,2007,1,3.912995729,50,0,0,2.10720997,0,0,6.22E-05,-0.001251642
100031,2009,1,6.952556882,52,0,0,1.86332286,1,0,0,0.074938477
100032,2007,1,5.984735131,26,0,0,3.387389826,1,1,0.029100354,0.12445368
100032,2009,1,8.836529612,59,0,1,3.699056855,0,1,-13.135918,-81.571568
100032,2013,1,6.542430649,32,0,1,4.256886045,0,1,3.26E-05,-0.11509851
100032,2015,1,5.695408042,65,0,1,4.074779882,0,1,0.005194781,-0.019020461
100039,2007,1,4.054838148,4,0,0,1.949390007,1,1,0.000235376,-0.022034988
100039,2015,1,4.037505939,19,0,0,3.110926242,0,0,0.000412816,0.003732598
100039,2017,1,4.039987644,21,0,0,3.209515015,0,0,0.001305748,-0.000124679
