sexo,edad,imce,vive_padre,vive_madre,sk1,sk2,sk3,sk4,sk5,sk6,sk7,sk8,sk9,sk10,sk11,sk12,sk13,act_fisica,area,educm,educp,madre_work
1,85,.75,1,1,1,1,1,2,1,2,2,1,2,2,2,3,2,,0,11,11,-1
0,76,.70999998,0,1,1,1,1,1,1,1,4,1,1,1,1,1,1,5,0,8,8,1
1,68,.27000001,0,1,2,2,3,2,1,2,3,2,2,3,2,1,3,,1,13,13,1
1,84,2.05,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,16,12,-1
0,86,1.05,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,17,15,0
0,74,1.39,1,1,1,2,1,1,1,1,4,1,1,1,1,1,1,4,0,8,8,-1
1,91,2.75,1,1,1,1,1,2,2,2,3,2,3,3,3,2,2,2,1,20,19,1
1,92,1.53,1,1,1,3,1,1,3,3,2,4,2,4,3,2,4,1,1,13,11,0
1,69,1.96,1,1,1,2,3,2,1,2,3,1,3,4,2,2,3,2,0,10,9,1
1,84,1.76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,17,17,1
0,80,0,1,1,1,1,1,1,1,1,2,2,1,1,1,3,1,3,1,13,18,1
0,78,.039999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,13,20,1
0,79,1.9299999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,17,1
0,78,1.65,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,5,1,20,13,1
0,74,1.65,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,3,0,13,13,-1
0,73,.52999997,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,17,20,1
1,86,1.14,1,1,2,3,2,1,1,1,2,1,1,1,1,1,1,3,0,6,9,-1
1,74,2.53,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,13,13,1
0,84,1.75,1,1,1,1,1,2,1,3,5,3,2,3,1,1,2,3,1,9,9,-1
0,84,.43000001,0,1,1,1,1,1,1,5,5,1,1,3,1,1,1,3,1,17,13,1
1,84,.27000001,1,1,2,2,1,1,1,2,3,3,2,3,2,2,2,,1,9,11,-1
1,84,1.29,1,1,1,1,1,1,3,4,3,1,1,3,1,1,1,5,1,12,12,0
1,85,.67000002,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,5,0,7,11,-1
0,84,-1.45,1,1,1,1,2,1,1,3,2,1,1,2,4,5,1,,1,4,7,-1
0,85,3.4100001,0,1,2,3,1,2,2,1,3,3,3,2,2,2,2,2,0,13,13,0
1,84,2.98,1,1,1,1,1,1,1,1,3,1,1,1,1,1,4,3,0,9,9,-1
1,85,-.12,1,1,1,1,1,1,1,1,2,1,1,4,1,1,5,3,1,9,2,-1
0,82,0,0,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,17,18,-1
1,85,1.77,0,1,1,3,1,3,2,1,3,2,2,4,3,2,4,3,0,8,5,1
1,83,2.03,0,1,1,1,1,1,1,1,2,1,1,2,1,2,2,3,1,13,13,-1
1,85,1.1,0,1,2,2,3,3,1,2,2,3,3,2,3,1,3,3,1,17,16,1
0,84,2.0799999,0,1,1,1,3,1,1,2,1,1,1,1,1,2,1,2,1,9,7,0
1,83,2.7,1,1,2,2,1,2,1,2,2,1,2,3,1,3,1,2,0,7,7,-1
1,83,-.02,1,1,1,1,1,1,1,1,3,1,1,2,2,1,2,4,1,15,15,1
1,84,-.11,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,3,1,19,19,1
0,85,-.40000001,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,3,1,13,13,-1
1,84,1.9,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,1,13,10,-1
0,84,.60000002,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,18,15,1
1,83,.61000001,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,13,13,-1
1,84,-2.3699999,1,1,1,3,1,1,1,1,2,1,1,3,3,1,5,5,1,6,9,-1
0,83,2.52,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,17,17,1
1,85,.5,0,1,1,2,1,1,1,2,3,1,1,2,1,1,1,1,1,15,15,1
1,83,1.9400001,1,1,1,2,1,1,1,1,2,3,2,3,2,3,3,2,1,13,9,1
0,83,1.25,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,3,1,13,13,1
1,85,1.41,1,1,3,1,1,1,1,1,2,1,1,2,1,4,3,2,1,18,15,-1
1,84,-.55000001,0,1,1,2,1,1,1,2,1,1,2,1,1,1,5,2,1,9,9,0
