sexo,edad,imce,vive_padre,vive_madre,sk1,sk2,sk3,sk4,sk5,sk6,sk7,sk8,sk9,sk10,sk11,sk12,sk13,act_fisica,area,educm,educp,madre_work,narrative
1,85,0.75,1,1,1,1,1,2,1,2,2,1,2,2,2,3,2,,0,11,11,-1,"Las habilidades socioemocionales estan bien establecidas, con lo afectivo-emocional como area mas fuerte y la curiosidad e intereses cognitivos como la mas rezagada. Solo rara vez muestra agresividad. Destaca especialmente el afecto hacia sus pares, aunque armar y desarmar cosas se observa mas debil."
0,76,0.70999998,0,1,1,1,1,1,1,1,4,1,1,1,1,1,1,5,0,8,8,1,"Exhibe un perfil socioemocional muy solido, sin diferencias marcadas entre las areas evaluadas. Lo que mejor maneja es el juego con otros, mientras la expresion de sentimientos requiere mayor estimulo. Las conductas agresivas se repiten con regularidad."
1,68,0.27000001,0,1,2,2,3,2,1,2,3,2,2,3,2,1,3,,1,13,13,1,"Su perfil socioemocional aun esta madurando, siendo la interaccion social y el juego su ambito mas avanzado y lo afectivo-emocional el menos logrado. Su mayor fortaleza es el juego con otros, aunque el interes por los libros se observa mas debil. Presenta conductas agresivas a veces."
1,84,2.05,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,16,12,-1,"Alcanza un nivel socioemocional muy alto, de manera homogenea en los tres ambitos. Resalta particularmente el uso de gestos para comunicarse, siendo el interes por los libros el aspecto a trabajar. La agresividad es esporadica."
0,86,1.05,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,17,15,0,"Exhibe un perfil socioemocional muy solido, de manera homogenea en los tres ambitos. Muestra episodios ocasionales de agresividad. Entre sus conductas, brilla compartir sus cosas, en tanto la expresion de sentimientos pide mas acompanamiento."
0,74,1.39,1,1,1,2,1,1,1,1,4,1,1,1,1,1,1,4,0,8,8,-1,"Evidencia un desarrollo socioemocional excelente, con ventaja clara en la interaccion social y el juego frente a un rezago en lo afectivo-emocional. Lo que mejor maneja es el interes por su entorno, siendo el afecto hacia sus pares el aspecto a trabajar. La agresividad es frecuente."
1,91,2.75,1,1,1,1,1,2,2,2,3,2,3,3,3,2,2,2,1,20,19,1,"Su perfil socioemocional es favorable, con lo afectivo-emocional como area mas fuerte y la curiosidad e intereses cognitivos como la mas rezagada. Entre sus conductas, brilla el afecto hacia sus padres, siendo el interes por los libros el aspecto a trabajar. La agresividad aparece de forma intermitente."
1,92,1.53,1,1,1,3,1,1,3,3,2,4,2,4,3,2,4,1,1,13,11,0,"Las habilidades socioemocionales se encuentran en desarrollo, destacando en lo afectivo-emocional y mostrando mayor debilidad en la interaccion social y el juego. Destaca especialmente el afecto hacia sus padres, siendo la participacion en juegos grupales el aspecto a trabajar. La agresividad es esporadica."
1,69,1.96,1,1,1,2,3,2,1,2,3,1,3,4,2,2,3,2,0,10,9,1,"Su nivel socioemocional es moderado, siendo la interaccion social y el juego su ambito mas avanzado y la curiosidad e intereses cognitivos el menos logrado. Muestra episodios ocasionales de agresividad. Destaca especialmente el afecto hacia sus padres, y el interes por los libros es lo que mas necesita apoyo."
1,84,1.76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,17,17,1,"Su desarrollo socioemocional es sobresaliente, con un avance parejo entre sus distintas areas. Sobresale hacer preguntas a los adultos, aunque compartir sus cosas se observa mas debil. No se registran conductas agresivas."
0,80,0,1,1,1,1,1,1,1,1,2,2,1,1,1,3,1,3,1,13,18,1,"Su desarrollo socioemocional es sobresaliente, con ventaja clara en lo afectivo-emocional frente a un rezago en la curiosidad e intereses cognitivos. La agresividad es esporadica. Sobresale el interes por su entorno, mientras armar y desarmar cosas requiere mayor estimulo."
0,78,0.039999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,13,20,1,"Evidencia un desarrollo socioemocional excelente, con un avance parejo entre sus distintas areas. Destaca especialmente el uso de gestos para comunicarse, siendo las expresiones artisticas el aspecto a trabajar. Sin senales de agresividad."
0,79,1.9299999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,17,1,"Muestra habilidades socioemocionales plenamente consolidadas, sin diferencias marcadas entre las areas evaluadas. Sus conductas individuales se presentan de forma pareja. No se registran conductas agresivas."
0,78,1.65,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,5,1,20,13,1,"Presenta un desarrollo socioemocional destacado, de manera homogenea en los tres ambitos. La agresividad es esporadica. Sobresale armar y desarmar cosas, en tanto el uso de gestos para comunicarse pide mas acompanamiento."
0,74,1.65,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,3,0,13,13,-1,"Su desarrollo socioemocional es sobresaliente, apoyado sobre todo en la interaccion social y el juego, mientras lo afectivo-emocional queda mas atras. Solo rara vez muestra agresividad. Lo que mejor maneja es hacer preguntas a los adultos, y conviene reforzar la expresion de sentimientos."
0,73,0.52999997,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,17,20,1,"Exhibe un perfil socioemocional muy solido, de manera homogenea en los tres ambitos. Destaca especialmente la expresion de sentimientos, y conviene reforzar las expresiones artisticas. Sin senales de agresividad."
1,86,1.14,1,1,2,3,2,1,1,1,2,1,1,1,1,1,1,3,0,6,9,-1,"Evidencia un buen nivel socioemocional, siendo la interaccion social y el juego su ambito mas avanzado y lo afectivo-emocional el menos logrado. Su mayor fortaleza es el interes por su entorno, aunque el afecto hacia sus pares se observa mas debil. La agresividad es esporadica."
1,74,2.53,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,13,13,1,"Exhibe un perfil socioemocional muy solido, siendo la interaccion social y el juego su ambito mas avanzado y lo afectivo-emocional el menos logrado. Su mayor fortaleza es el juego con otros, aunque el afecto hacia sus pares se observa mas debil. No presenta agresividad."
0,84,1.75,1,1,1,1,1,2,1,3,5,3,2,3,1,1,2,3,1,9,9,-1,"Evidencia un buen nivel socioemocional, con ventaja clara en lo afectivo-emocional frente a un rezago en la interaccion social y el juego. Sobresale el interes por su entorno, mientras la participacion en juegos grupales requiere mayor estimulo. La agresividad es constante."
0,84,0.43000001,0,1,1,1,1,1,1,5,5,1,1,3,1,1,1,3,1,17,13,1,"Muestra un desarrollo socioemocional satisfactorio, con ventaja clara en lo afectivo-emocional frente a un rezago en la interaccion social y el juego. Entre sus conductas, brilla la expresion de sentimientos, y conviene reforzar compartir sus cosas. La agresividad es constante."
1,84,0.27000001,1,1,2,2,1,1,1,2,3,3,2,3,2,2,2,,1,9,11,-1,"Las habilidades socioemocionales estan bien establecidas, con ventaja clara en lo afectivo-emocional frente a un rezago en la curiosidad e intereses cognitivos. Su mayor fortaleza es el juego con otros, siendo la participacion en juegos grupales el aspecto a trabajar. Presenta conductas agresivas a veces."
1,84,1.29,1,1,1,1,1,1,3,4,3,1,1,3,1,1,1,5,1,12,12,0,"Su perfil socioemocional es favorable, destacando en lo afectivo-emocional y mostrando mayor debilidad en la interaccion social y el juego. Se observan brotes de agresividad de cuando en cuando. Resalta particularmente hacer preguntas a los adultos, siendo compartir sus cosas el aspecto a trabajar."
1,85,0.67000002,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,5,0,7,11,-1,"Presenta un desarrollo socioemocional destacado, donde lo afectivo-emocional lidera y la curiosidad e intereses cognitivos concentra el mayor desafio. Su mayor fortaleza es armar y desarmar cosas, mientras el interes por los libros requiere mayor estimulo. Se observan brotes de agresividad de cuando en cuando."
0,84,-1.45,1,1,1,1,2,1,1,3,2,1,1,2,4,5,1,,1,4,7,-1,"Las habilidades socioemocionales estan bien establecidas, con ventaja clara en lo afectivo-emocional frente a un rezago en la curiosidad e intereses cognitivos. Su mayor fortaleza es las expresiones artisticas, mientras armar y desarmar cosas requiere mayor estimulo. Presenta agresividad ocasional y leve."
0,85,3.4100001,0,1,2,3,1,2,2,1,3,3,3,2,2,2,2,2,0,13,13,0,"Su nivel socioemocional es moderado, apoyado sobre todo en lo afectivo-emocional, mientras la curiosidad e intereses cognitivos queda mas atras. Lo que mejor maneja es compartir sus cosas, aunque la participacion en juegos grupales se observa mas debil. La agresividad aparece de forma intermitente."
1,84,2.98,1,1,1,1,1,1,1,1,3,1,1,1,1,1,4,3,0,9,9,-1,"Muestra habilidades socioemocionales plenamente consolidadas, apoyado sobre todo en lo afectivo-emocional, mientras la curiosidad e intereses cognitivos queda mas atras. La agresividad aparece de forma intermitente. Sobresale la expresion de sentimientos, aunque las expresiones artisticas se observa mas debil."
1,85,-0.12,1,1,1,1,1,1,1,1,2,1,1,4,1,1,5,3,1,9,2,-1,"Evidencia un buen nivel socioemocional, donde lo afectivo-emocional lidera y la curiosidad e intereses cognitivos concentra el mayor desafio. La agresividad es esporadica. Entre sus conductas, brilla el uso de gestos para comunicarse, y las expresiones artisticas es lo que mas necesita apoyo."
0,82,0,0,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,17,18,-1,"Alcanza un nivel socioemocional muy alto, apoyado sobre todo en la interaccion social y el juego, mientras lo afectivo-emocional queda mas atras. No presenta agresividad. Sobresale el interes por los libros, mientras el afecto hacia sus pares requiere mayor estimulo."
