"Marca temporal","ID","Edad","Sexo","Carrera","Año académico","Universidad"," [Hablo sobre mis valores y creencias más importantes.]"," [Especifico la importancia de tener un propósito.]"," [Considero las consecuencias morales y éticas de las decisiones.]"," [Enfatizo la importancia de tener un sentido colectivo de la misión.]"," [Hago que las personas se sientan orgullosas por trabajar conmigo.]"," [Voy más allá del interés propio para el bien del grupo.]"," [Actúo de formas que genero respeto.]"," [Muestro un sentido de poder y confianza en las decisiones.]"," [Hablo con optimismo sobre el futuro.]"," [Hablo con entusiasmo sobre lo que se necesita lograr.]"," [Expreso con claridad una visión convincente del futuro.]"," [Expreso mi confianza sobre el logro de objetivos.]"," [Reexamino supuestos críticos para ver si son apropiados.]"," [Busco perspectivas diversas al momento de resolver problemas.]"," [Hago que los demás vean los problemas desde distintos ángulos.]"," [Sugiero nuevas formas de realizar los deberes asignados.]"," [Genero espacios de tiempo para la enseñanza y el entrenamiento.]"," [Trato a los demás como una persona y no únicamente como un miembro de un grupo.]"," [Considero que tengo diferentes necesidades, habilidades y aspiraciones que los demás.]"," [Ayudo a los demás a desarrollar susfortalezas.]"," [Brindo apoyo a los demás por sus esfuerzos.]"," [Debato en términos específicos respecto de quien es el responsable de lograr los objetivos de rendimiento.]"," [Esclarezco lo que uno puede recibir cuando se logran las metas de desempeño.]"," [Expreso satisfacción cuando alguien cumplió con las expectativas.]"," [Centro la atención en irregularidades, errores, excepciones y desviaciones de las normas.]"," [Concentro toda mi atención en el tratamiento de errores, quejas y fallas.]"," [Hago un seguimiento de mis errores.]"," [Dirijo mi atención a los fracasos para cumplir con los estándares.]"," [No interfiero hasta que los problemas se tornan serios.]"," [Espero que las cosas vayan mal antes de tomar medidas.]"," [Demuestro que creo en la frase “si funciona, no lo arregles”.]"," [Demuestro que los problemas deben volverse crónicos antes de tomar medidas.]"," [Evito involucrarme cuando surgen problemas importantes.]"," [Estoy ausente cuando se me necesita.]"," [Evito tomar decisiones.]"," [Retraso las respuestas a preguntas urgentes.]"," [Consigo que alguien haga más de lo que se esperaba que haga.]"," [Aumento el deseo de tener éxito de los demás.]"," [Aumento la disposición a esforzarse más de los demás.]"," [Utilizo métodos satisfactorios de liderazgo.]"," [Trabajo con los demás de manera satisfactoria.]"," [Soy eficaz al satisfacer las necesidades de los demás.]"," [Soy eficaz al representar a alguien ante una autoridad superior.]"," [Soy eficaz en el cumplimiento de los requisitos de una organización.]"," [Dirijo a un grupo que es efectivo.]"
"2026/06/03 10:05:23 a.m. GMT-4","d20aaaa8-b168-4dac-b738-4a50dcec1b85","21","Masxulino","Medicina","Tercer año","Universidad de Concepción","3","4","3","2","4","3","3","3","4","4","4","3","2","2","3","2","4","4","4","3","3","1","4","4","3","2","3","2","2","2","2","1","1","2","1","1","3","3","3","3","4","3","4","4","4"
"2026/06/03 12:01:26 p.m. GMT-4","d2906efa-7c22-48c2-bc6c-d0f71f28ff12","20","Femenino","Obstetricia","Tercer año","Universidad de Concepción","2","4","4","4","3","4","4","4","3","4","4","4","4","4","4","3","3","4","4","4","4","3","4","4","2","3","4","3","2","1","1","1","2","2","1","1","3","4","4","3","2","2","2","4","1"
"2026/06/04 2:06:33 p.m. GMT-4","13bd9378-f6a3-4e4c-8de3-9c36c285f088","22","Masculino","Medicina","Quinto año","Universidad de Concepción","2","4","4","4","4","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3","4","1","1","1","1","1","1","1","1","3","4","3","3","3","3","4","3","4"
"2026/06/04 3:11:10 p.m. GMT-4","21244fdf-80ee-4b8e-b6da-81da840132b3","22","Femenino","Obstetricia","Cuarto año","Universidad de Concepción","3","4","3","2","2","3","2","2","3","2","2","2","3","3","2","3","2","3","2","2","2","2","3","3","3","2","2","2","2","2","1","1","2","1","3","2","2","2","2","2","3","3","3","3","2"
"2026/06/04 3:12:17 p.m. GMT-4","f60c5c62-6d29-49ca-af78-1b060281a714","23","Femenino","Obstetricia","Cuarto año","Universidad de Concepción","3","4","4","3","4","3","4","4","2","4","3","4","4","3","4","3","2","3","4","3","3","4","4","4","2","2","3","3","2","2","2","1","1","1","1","1","2","3","3","3","4","4","4","4","4"
"2026/06/08 11:08:54 a.m. GMT-4","b092b9ca-7a2a-4b9f-9fef-2f2adf12bd9f","21","Femenino","Obstetricia","Tercer año","Universidad de Concepción","4","3","3","3","2","3","3","3","4","3","2","3","2","3","3","3","2","4","2","2","3","3","3","3","3","2","3","3","4","2","2","2","4","2","2","2","2","2","3","3","4","3","3","3","3"
"2026/06/08 12:14:45 p.m. GMT-4","a3960bdb-165e-4b3c-afd8-69910858513a","34","Femenino","Obstetricia","Cuarto año","Universidad de Concepción","3","1","4","3","4","4","3","3","3","3","4","3","4","4","4","4","3","4","4","3","3","4","4","4","2","3","4","3","1","1","1","1","2","1","2","1","2","2","2","3","3","4","3","4","3"
"2026/06/09 2:14:16 p.m. GMT-4","5187c158-b7ac-420e-8857-d8eb823084ff","23","Femenino","Obstetricia","Cuarto año","Universidad de Concepción","3","2","4","3","2","3","4","3","3","3","3","3","2","3","4","3","2","4","4","3","4","2","2","4","3","2","3","4","2","1","2","2","2","2","2","1","3","2","2","2","3","3","2","3","3"
"2026/06/09 2:22:51 p.m. GMT-4","80e61ba7-e3b7-442d-9019-2c17918a901e","22","Femenino","Medicina","Quinto año","Universidad de Concepción","4","3","4","3","2","4","4","3","3","3","3","3","3","4","4","2","4","4","4","3","4","2","3","4","3","3","4","4","3","3","2","2","1","1","3","3","2","3","2","2","3","2","2","4","3"
"2026/06/09 4:16:58 p.m. GMT-4","4a2a3de2-8383-4de6-b615-78be13df3e98","23","Femenino","Obstetricia","Quinto año","Universidad de Concepción","3","3","4","3","4","4","4","4","4","4","4","4","3","3","3","4","4","4","4","4","4","3","4","4","2","2","2","2","2","1","2","1","2","1","1","2","3","4","4","4","4","4","4","4","4"
